ID,Pass,Grade,Pass Sess 0,Grade Sess 0,Grade Sess 1,Pass Sess 1
248640,1,3,2,-1,3,1
248645,1,1,1,1,-1,-1
248658,2,-1,2,-1,-1,2
248665,1,1,1,1,-1,-1
248711,1,1,1,1,-1,-1
248717,1,2,1,2,-1,-1
248720,1,1,1,1,-1,-1
248736,1,2,2,-1,-1,2
248751,1,1,1,1,-1,-1
248785,1,3,2,-1,-1,2
248791,1,1,1,1,-1,-1
248809,2,-1,2,-1,-1,2
248811,1,1,1,1,-1,-1
248837,1,1,1,3,1,1
248843,2,-1,2,-1,-1,2
248850,1,2,1,2,-1,-1
248851,2,-1,2,-1,-1,2
248863,2,-1,2,-1,-1,2
248876,1,2,1,2,-1,-1
248912,1,2,0,-1,2,1
248924,1,1,1,1,-1,-1
248957,1,2,2,-1,2,1
248992,1,1,1,1,-1,-1
249032,1,1,1,1,-1,-1
249046,2,-1,2,-1,-1,2
249062,1,1,1,1,-1,-1
249064,2,-1,2,-1,-1,2
249066,1,2,1,2,-1,-1
249073,1,3,2,-1,3,1
249099,1,2,1,2,-1,-1
249118,1,2,1,2,-1,-1
249123,1,1,1,1,-1,-1
249126,1,1,1,1,-1,-1
249180,1,1,1,1,-1,-1
249182,2,-1,2,-1,-1,2
249193,1,3,0,-1,3,1
249201,1,3,2,-1,-1,2
249288,1,2,1,2,-1,-1
249309,1,3,1,3,-1,-1
249342,2,-1,2,-1,-1,2
249380,1,2,2,-1,-1,2
249460,1,1,1,1,-1,-1
249516,1,2,1,2,-1,-1
249553,1,2,1,2,-1,-1
249561,2,-1,2,-1,-1,2
249564,1,1,2,-1,1,1
249627,1,1,2,-1,-1,2
249630,2,-1,2,-1,-1,2
249634,1,3,2,-1,-1,2
249640,1,1,0,-1,1,1
249658,1,1,1,1,-1,-1
249661,1,1,1,1,-1,-1
249665,2,-1,2,-1,-1,2
249669,1,3,2,-1,3,1
249673,2,-1,2,-1,-1,2
249683,1,2,1,2,-1,-1
249684,1,3,1,3,-1,-1
249710,1,1,1,1,-1,-1
249735,1,3,2,-1,3,1
249775,1,2,1,2,-1,-1
249791,0,-1,0,-1,-1,2
249803,1,2,1,2,-1,-1
249807,1,2,2,-1,2,1
249845,1,1,1,1,-1,-1
249862,1,3,2,-1,3,1
249870,2,-1,2,-1,-1,2
249920,1,1,0,-1,1,1
250011,1,2,1,2,-1,-1
250015,1,1,1,1,-1,-1
250042,1,2,2,-1,-1,2
250058,1,3,2,-1,-1,2
250088,1,2,1,2,-1,-1
250141,1,2,1,2,-1,-1
250209,0,-1,2,-1,-1,0
250214,2,-1,2,-1,-1,2
250216,2,-1,2,-1,-1,2
250360,1,3,2,-1,-1,2
250400,2,-1,2,-1,-1,2
250401,1,1,1,3,1,1
250405,2,-1,2,-1,-1,2
250424,1,3,1,3,-1,-1
250485,1,3,1,3,-1,-1
250542,1,2,1,2,-1,-1
250677,2,-1,2,-1,-1,2
250764,1,2,1,2,-1,-1
250809,1,3,1,3,-1,-1
250868,1,1,1,1,-1,-1
251096,1,3,2,-1,3,1
251147,1,3,2,-1,-1,2
251150,2,-1,2,-1,-1,2
251271,1,1,1,1,-1,-1
251593,1,2,1,2,-1,-1
251718,1,3,2,-1,-1,0
252105,1,1,2,-1,1,1
252615,1,2,2,-1,2,1
252666,2,-1,2,-1,-1,2
252758,2,-1,2,-1,-1,2
252927,1,3,2,-1,-1,2
253121,1,1,2,-1,-1,2
253163,1,1,2,-1,1,1
253581,1,3,2,-1,3,1
253655,1,2,2,-1,-1,2
253797,1,1,2,-1,1,1
255008,2,-1,2,-1,-1,2
256100,2,-1,2,-1,-1,2
256465,1,2,2,-1,-1,2
256647,2,-1,2,-1,-1,2
256656,1,1,1,1,-1,-1
257041,1,2,2,-1,-1,2
257649,2,-1,2,-1,-1,2
260159,1,1,2,-1,1,1
260323,2,-1,2,-1,-1,2
261327,1,3,2,-1,3,1
261795,1,2,1,2,-1,-1
262357,1,2,1,2,-1,-1
262361,1,1,1,1,-1,-1
262646,2,-1,2,-1,-1,2
262660,1,3,2,-1,3,1
263011,1,2,2,-1,2,1
263279,1,3,2,-1,3,1
264562,1,2,1,2,-1,-1
264590,1,3,2,-1,3,1
264761,2,-1,2,-1,-1,2
264811,1,3,2,-1,-1,0
264882,2,-1,2,-1,-1,2
