ID,CommitCount#Lab1,Failed#Lab1,Passed#Lab1,Error#Lab1,Done#Lab1 ,ActiveDays#Lab1,CommitsPerDay#Lab1
234836,0.037037037037037035,0.125,0.07142857142857142,0.125,0.0,0.0,0.0
234970,0.14814814814814814,0.125,0.5714285714285714,0.125,1.0,0.25,0.1111111111111111
235000,0.037037037037037035,0.125,0.07142857142857142,0.125,0.0,0.0,0.0
235002,0.07407407407407407,1.0,0.07142857142857142,0.125,1.0,0.125,0.1111111111111111
235017,0.037037037037037035,0.125,0.07142857142857142,0.125,0.0,0.0,0.0
235018,0.1111111111111111,1.0,0.07142857142857142,0.125,1.0,0.25,0.1111111111111111
235069,0.07407407407407407,0.125,0.5714285714285714,0.125,1.0,0.125,0.1111111111111111
235078,0.0,0.0,0.0,0.0,0.0,0.0,0.0
235087,0.3333333333333333,0.0,0.21428571428571427,0.0,1.0,0.375,0.2222222222222222
235092,0.2222222222222222,0.125,0.5714285714285714,0.125,1.0,0.125,0.5555555555555556
235130,0.07407407407407407,0.125,0.5714285714285714,0.125,1.0,0.125,0.1111111111111111
235147,0.037037037037037035,0.125,0.07142857142857142,0.125,0.0,0.0,0.0
235225,0.037037037037037035,0.125,0.07142857142857142,0.125,0.0,0.0,0.0
235330,0.4444444444444444,0.0,0.4285714285714285,0.0,1.0,0.375,0.3333333333333333
235372,0.07407407407407407,0.25,0.3571428571428571,0.375,1.0,0.125,0.1111111111111111
235432,0.5925925925925926,0.375,0.4285714285714285,0.125,1.0,0.875,0.2222222222222222
235508,0.037037037037037035,0.125,0.07142857142857142,0.125,0.0,0.0,0.0
235568,0.07407407407407407,0.125,0.5714285714285714,0.125,1.0,0.125,0.1111111111111111
235574,0.18518518518518517,0.125,0.5714285714285714,0.125,1.0,0.125,0.4444444444444444
235604,0.037037037037037035,0.125,0.07142857142857142,0.125,0.0,0.0,0.0
235622,0.07407407407407407,0.375,0.4285714285714285,0.125,1.0,0.125,0.1111111111111111
235766,0.07407407407407407,0.125,0.5714285714285714,0.125,1.0,0.125,0.1111111111111111
235818,0.037037037037037035,0.125,0.07142857142857142,0.125,0.0,0.0,0.0
235821,0.14814814814814814,0.5,0.3571428571428571,0.125,1.0,0.25,0.1111111111111111
235829,0.037037037037037035,0.125,0.07142857142857142,0.125,0.0,0.0,0.0
235895,0.14814814814814814,0.125,0.5714285714285714,0.125,1.0,0.375,0.1111111111111111
235901,0.037037037037037035,0.125,0.07142857142857142,0.125,0.0,0.0,0.0
235904,0.5555555555555556,0.125,0.4285714285714285,0.375,1.0,0.625,0.2222222222222222
235909,0.07407407407407407,0.125,0.5714285714285714,0.125,1.0,0.125,0.1111111111111111
